Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Runs in Boundary,% Runs in Boundary
V Kohli (IND),2010-2024,117,109,31,4037,122*,51.75,2922,138.15,1,37,5,361,117,2146,53.15828586
RG Sharma (IND),2007-2024,151,143,18,3974,121*,31.79,2839,139.97,5,29,12,359,190,2576,64.8213387
Babar Azam (PAK),2016-2024,109,103,14,3698,122,41.55,2864,129.12,3,33,5,395,59,1934,52.29853975
MJ Guptill (NZ),2009-2022,122,118,7,3531,105,31.81,2602,135.7,2,20,3,309,173,2274,64.40101954
PR Stirling (IRE),2009-2024,137,136,11,3491,115*,27.92,2582,135.2,1,23,13,407,124,2372,67.94614724
AJ Finch (AUS),2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125,1986,63.65384615
DA Warner (AUS),2009-2024,103,103,11,3099,100*,33.68,2172,142.67,1,26,6,320,113,1958,63.18167151
Mohammad Rizwan (PAK),2015-2024,90,78,17,2981,104*,48.86,2337,127.55,1,26,3,255,81,1506,50.51995975
JC Buttler (ENG),2011-2023,114,105,21,2927,101*,34.84,2024,144.61,1,22,6,263,123,1790,61.15476597
KS Williamson (NZ),2011-2024,89,87,12,2547,95,33.96,2060,123.64,-,18,4,242,58,1316,51.66862976
Mohammad Hafeez (PAK),2006-2021,119,108,13,2514,99*,26.46,2060,122.03,-,14,7,251,76,1460,58.07478123
GJ Maxwell (AUS),2012-2024,106,98,16,2468,145*,30.09,1587,155.51,5,10,3,205,127,1582,64.10048622
EJG Morgan (ENG),2009-2022,115,107,21,2458,91,28.58,1805,136.17,-,14,3,186,120,1464,59.56061839
Shoaib Malik (ICC/PAK),2006-2021,124,111,33,2435,75,31.21,1938,125.64,-,9,2,196,69,1198,49.19917864
Shakib Al Hasan (BAN),2006-2023,117,116,16,2382,84,23.82,1946,122.4,-,12,8,242,50,1268,53.23257767
Virandeep Singh (MAS),2019-2024,77,76,14,2313,116*,37.3,1836,125.98,1,16,5,196,101,1390,60.09511457
Q de Kock (SA),2012-2023,80,79,9,2277,100,32.52,1658,137.33,1,14,6,235,86,1456,63.94378568
DA Miller (SA/World),2010-2023,116,101,34,2268,106*,33.85,1569,144.55,2,6,1,150,109,1254,55.29100529
KL Rahul (IND),2016-2022,72,68,8,2265,110*,37.75,1628,139.12,2,22,5,191,99,1358,59.95584989
Mahmudullah (BAN),2007-2024,124,115,23,2176,64*,23.65,1841,118.19,-,7,5,163,68,1060,48.71323529
A Balbirnie (IRE),2015-2024,101,97,4,2170,83,23.33,1743,124.49,-,10,5,229,63,1294,59.63133641
SA Yadav (IND),2021-2023,60,57,10,2141,117,45.55,1248,171.55,4,17,3,192,123,1506,70.34096217
BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91,1342,62.71028037
Mohammad Nabi (AFG),2010-2024,121,113,21,2109,89,22.92,1520,138.75,-,6,6,145,107,1222,57.94215268
AD Hales (ENG),2011-2022,75,75,8,2074,116*,30.95,1499,138.35,1,12,5,225,70,1320,63.64513018
S Ssesazi (UGA),2021-2024,78,76,10,2072,100*,31.39,1678,123.48,1,16,7,223,67,1294,62.45173745
Mohammad Shahzad (AFG),2010-2023,73,73,3,2048,118*,29.25,1550,132.12,1,12,4,229,76,1372,66.9921875
RD Berrington (SCOT),2008-2024,87,79,15,2040,100,31.87,1543,132.2,1,10,9,176,69,1118,54.80392157
KJ O'Brien (IRE),2008-2021,110,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82,1152,58.38824126
Syed Aziz (MAS),2019-2024,79,77,13,1946,126,30.4,1363,142.77,1,15,6,187,92,1300,66.8036999
JP Duminy (SA),2007-2019,81,75,25,1934,96*,38.68,1532,126.24,-,11,6,138,71,978,50.56876939
LRPL Taylor (NZ),2006-2020,102,94,21,1909,63,26.15,1560,122.37,-,7,6,121,71,910,47.66893662
CH Gayle (WI),2006-2021,79,75,7,1899,117,27.92,1381,137.5,2,14,4,158,124,1376,72.45918905
DJ Malan (ENG),2017-2023,62,60,8,1892,103*,36.38,1428,132.49,1,16,2,194,62,1148,60.67653277
TM Dilshan (SL),2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33,1090,57.70248809
Sikandar Raza (ZIM),2013-2024,81,77,4,1854,87,25.39,1379,134.44,-,13,6,136,88,1072,57.82092772
N Pooran (WI),2016-2024,88,80,8,1848,82,25.66,1372,134.69,-,11,2,127,115,1198,64.82683983
Muhammad Waseem (UAE),2021-2024,50,50,3,1818,112,38.68,1197,151.87,2,14,4,146,113,1262,69.41694169
GD Phillips (NZ),2017-2024,74,67,12,1817,108,33.03,1268,143.29,2,10,3,130,88,1048,57.67749037
Najibullah Zadran (AFG),2012-2024,102,91,32,1808,73,30.64,1305,138.54,-,8,5,126,95,1074,59.40265487
HG Munsey (SCOT),2015-2024,65,63,4,1798,132,30.47,1254,143.38,2,10,5,216,70,1284,71.41268076
S Dhawan (IND),2011-2021,68,66,3,1759,92,27.92,1392,126.36,-,11,2,191,50,1064,60.48891416
