Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
TG Southee (NZ),2008-2024,123,120,2681,446.5,6,3635,157,43221,23.15,8.13,17.07,2,2
Shakib Al Hasan (BAN),2006-2023,117,115,2535,422.3,3,2869,140,43952,20.49,6.79,18.1,5,2
Rashid Khan (AFG/ICC),2015-2024,85,85,1946,324.2,1,1970,138,45356,14.27,6.07,14.1,5,2
IS Sodhi (NZ),2014-2024,111,107,2279,379.5,-,3048,132,46844,23.09,8.02,17.26,3,-
MJ Santner (NZ),2015-2024,100,98,2072,345.2,2,2457,111,45600,22.13,7.11,18.66,3,-
MR Adair (IRE),2019-2024,77,77,1637,272.5,2,2099,107,41365,19.61,7.69,15.29,3,-
SL Malinga (SL),2006-2020,84,83,1799,299.5,1,2225,107,45448,20.79,7.42,16.81,1,2
Mustafizur Rahman (BAN),2015-2024,91,90,1942,323.4,6,2469,107,44682,23.07,7.62,18.14,3,1
AU Rashid (ENG),2009-2023,104,100,2192,365.2,4,2698,107,45326,25.21,7.38,20.48,2,-
PW Hasaranga (SL),2019-2024,65,63,1420,236.4,1,1619,104,45539,15.56,6.84,13.65,3,-
Shadab Khan (PAK),2017-2023,92,88,1951,325.1,3,2301,104,45508,22.12,7.07,18.75,3,-
Bilal Khan (OMA),2015-2024,72,71,1553,258.5,7,1703,101,43556,16.86,6.57,15.37,3,-
SO Ngoche (KENYA),2010-2024,84,82,1696,282.4,12,1706,99,41730,17.23,6.03,17.13,3,-
S Lamichhane (ICC/NEP),2018-2023,52,52,1175,195.5,5,1233,98,45540,12.58,6.29,11.98,2,1
Shahid Afridi (ICC/PAK),2006-2018,99,97,2168,361.2,4,2396,98,45600,24.44,6.63,22.12,3,-
YS Chahal (IND),2016-2023,80,79,1764,294,2,2409,96,45809,25.09,8.19,18.37,2,1
CJ Jordan (ENG),2014-2023,88,87,1828,304.4,2,2658,96,45447,27.68,8.72,19.04,3,-
H Ssenyondo (UGA),2019-2024,77,73,1528,254.4,8,1371,94,45386,14.58,5.38,16.25,7,-
Mohammad Nabi (AFG),2010-2024,121,113,2134,355.4,5,2616,93,45569,28.12,7.35,22.94,3,-
A Zampa (AUS),2016-2024,80,79,1715,285.5,1,2082,92,43586,22.63,7.28,18.64,1,1
Haris Rauf (PAK),2020-2024,66,64,1435,239.1,1,1963,90,43191,21.81,8.2,15.94,3,-
B Kumar (IND),2012-2022,87,86,1791,298.3,10,2079,90,45387,23.1,6.96,19.9,3,2
Ehsan Khan (HKG),2016-2024,64,63,1410,235,4,1459,89,45383,16.39,6.2,15.84,2,-
Karan KC (NEP),2015-2024,65,65,1284,214,5,1685,88,44317,19.14,7.87,14.59,3,1
Umar Gul (PAK),2007-2016,60,60,1203,200.3,2,1443,85,45448,16.97,7.19,14.15,4,2
Saeed Ajmal (PAK),2009-2015,64,63,1430,238.2,2,1516,85,43556,17.83,6.36,16.82,4,-
Aizaz Khan (HKG),2014-2024,74,71,1369,228.1,4,1774,85,46113,20.87,7.77,16.1,2,-
GH Dockrell (IRE),2010-2024,130,89,1568,261.2,1,1878,83,43922,22.62,7.18,18.89,1,-
T Shamsi (SA),2017-2023,65,65,1408,234.4,1,1732,78,45413,22.2,7.38,18.05,2,1
JB Little (IRE),2016-2024,66,65,1460,243.2,2,1814,78,45017,23.25,7.45,18.71,2,-
DJ Bravo (WI),2006-2021,91,77,1505,250.5,-,2036,78,43556,26.1,8.11,19.29,3,-
JJ Bumrah (IND),2016-2023,62,61,1331,221.5,10,1455,74,45599,19.66,6.55,17.98,-,-
TA Boult (NZ),2013-2024,57,57,1293,215.3,2,1720,74,41365,23.24,7.98,17.47,2,-
MA Starc (AUS),2012-2024,60,60,1350,225,2,1727,74,43922,23.33,7.67,18.24,1,-
K Irakoze (RWN),2021-2023,72,70,1261,210.1,5,1354,73,43922,18.54,6.44,17.27,3,-
Shaheen Shah Afridi (PAK),2018-2024,57,57,1259,209.5,2,1628,73,44652,22.3,7.75,17.24,1,-
HH Pandya (IND),2016-2023,92,81,1433,238.5,1,1950,73,42461,26.71,8.16,19.63,3,-
A Bohara (NEP),2019-2024,56,54,1134,189,2,1378,72,45602,19.13,7.29,15.75,2,1
Zahoor Khan (UAE),2017-2023,57,57,1239,206.3,1,1406,72,42461,19.52,6.8,17.2,2,-
MRJ Watt (SCOT),2015-2024,60,58,1256,209.2,4,1433,72,46508,19.9,6.84,17.44,1,1
R Ashwin (IND),2010-2022,65,65,1452,242,3,1672,72,45508,23.22,6.9,20.16,2,-
SM Sharif (SCOT),2012-2024,65,64,1309,218.1,1,1751,72,45383,24.31,8.02,18.18,2,-
D Maisuria (BOT),2019-2023,37,35,756,126,4,672,71,43221,9.46,5.33,10.64,4,2
M Akayezu (RWN),2021-2023,69,59,1068,178,3,1399,71,45539,19.7,7.85,15.04,3,-
AR Ramjani (UGA),2022-2024,39,38,787,131.1,7,622,70,45539,8.88,4.74,11.24,3,-
DM Nakrani (UGA),2019-2024,56,53,1110,185,8,1040,67,45479,15.52,5.62,16.56,1,2
Junaid Siddique (UAE),2019-2024,53,53,1169,194.5,2,1476,67,45630,22.02,7.57,17.44,3,-
Virandeep Singh (MAS),2019-2024,77,56,931,155.1,5,839,66,45508,12.71,5.4,14.1,2,-
BAW Mendis (SL),2008-2014,39,39,885,147.3,5,952,66,45510,14.42,6.45,13.4,3,2
KMDN Kulasekara (SL),2008-2017,58,58,1231,205.1,6,1530,66,11414,23.18,7.45,18.65,2,-
JO Holder (WI),2014-2024,63,60,1333,222.1,2,1906,66,46508,28.87,8.57,20.19,2,1
YM Nkanya (TAN),2022-2024,51,49,978,163,6,868,65,45327,13.35,5.32,15.04,3,1
Bilal Hassun (UGA),2021-2024,45,43,832,138.4,6,876,65,42826,13.47,6.31,12.8,3,-
Imad Wasim (PAK),2015-2023,66,65,1356,226,4,1416,65,41760,21.78,6.26,20.86,1,1
SCJ Broad (ENG),2006-2014,56,55,1173,195.3,2,1491,65,45383,22.93,7.62,18.04,1,-
CA Young (IRE),2015-2023,59,57,1160,193.2,1,1522,65,41365,23.41,7.87,17.84,2,-
Pavandeep Singh (MAS),2019-2024,54,54,1194,199,5,1136,64,45629,17.75,5.7,18.65,-,-
DW Steyn (SA),2007-2020,47,47,1015,169.1,3,1175,64,45539,18.35,6.94,15.85,2,-
BM Scholtz (NAM),2019-2024,58,57,1174,195.4,-,1187,64,45630,18.54,6.06,18.34,2,-
PA van Meekeren (NED),2013-2022,58,56,1165,194.1,2,1358,64,45600,21.21,6.99,18.2,2,-
Imran Tahir (SA/World),2013-2019,38,38,845,140.5,-,948,63,45047,15.04,6.73,13.41,2,2
JN Frylinck (NAM),2019-2024,57,50,963,160.3,1,1131,63,45444,17.95,7.04,15.28,1,1
